Title,Desc,Type,BodyPart,Equipment,Level,Rating,RatingDesc
30 V-Up,"The V-up is a bodyweight movement that targets the muscles of the abs, the rectus abdominis or ""six-pack"" muscles in particular. It is similar to a suitcase crunch, but the lower back lifts off the ground at the top of each rep. It can be performed for time or reps in the ab-focused portion of any workout.",Strength,Abdominals,Body Only,Intermediate,,
Cocoon crunch,"The cocoon crunch is a bodyweight exercise targeting the ab muscles, the rectus abdominis or ""six-pack"" muscles in particular. It involves bringing your knees to your chest and your arms from overhead to center. It can be performed for time or reps as part of the ab-focused portion of any workout.",Strength,Abdominals,Body Only,Intermediate,,
Bench oblique crunch,"The bench oblique crunch is an exercise that targets the obliques, the muscles running alongside the rectus abdominis. The range of motion is fairly small, but it still does a great job of working these hard-to-isolate muscles. Like most crunch variations, it is usually performed for moderate to high reps, such as 8-12 reps per set or more.",Strength,Abdominals,Body Only,Intermediate,,
Full moon-,"The full moon is a bodyweight exercise targeting the muscles of the abs. It is similar to a V-up, but with the added challenge of “drawing” a circle shape in the air during each rep. It can be performed for time or reps in the core-focused portion of any workout.",Strength,Abdominals,Body Only,Intermediate,,
Push-up to side plank,"The push-up to side plank is an upper-body and core-focused exercise combining two popular bodyweight movements. It targets the chest, triceps, and shoulders with the push-up, and the obliques and hip external rotator muscles with the side plank. It can be performed as part of a dynamic warm-up or any bodyweight strength-training workout.",Strength,Abdominals,Body Only,Intermediate,,
Tyler Holt V-Up,,Strength,Abdominals,Body Only,Intermediate,,
Tyler Holt Plank,,Strength,Abdominals,Body Only,Intermediate,,
Tyler Holt Hip-Dip,,Strength,Abdominals,Body Only,Intermediate,,
Suicides,,Strength,Abdominals,Body Only,Intermediate,,
Holman Towel Straight Plank Jack,,Strength,Abdominals,Body Only,Intermediate,,
Holman Towel Hill Climber,,Strength,Abdominals,Body Only,Intermediate,,
Holman Towel Elbow Plank Jack,,Strength,Abdominals,Body Only,Intermediate,,
Holman Towel Elbow Plank Pike,,Strength,Abdominals,Body Only,Intermediate,,
Holman Towel Straight Plank Hand Reach,,Strength,Abdominals,Body Only,Intermediate,,
Holman Towel Wax-On Wax-Off,,Strength,Abdominals,Body Only,Intermediate,,
Holman Towel Wide Hill Climber,,Strength,Abdominals,Body Only,Intermediate,,
Holman Towel Dirty Dog,,Strength,Abdominals,Body Only,Intermediate,,
Holman Straight Plank Shoulder Tap,,Strength,Abdominals,Body Only,Intermediate,,
Holman Killer Abs,,Strength,Abdominals,Body Only,Intermediate,,
Holman Straight Plank Split Jack,,Strength,Abdominals,Body Only,Intermediate,,
Holman Elbow Plank Swim,,Strength,Abdominals,Body Only,Intermediate,,
Holman Elbow Plank Saw,,Strength,Abdominals,Body Only,Intermediate,,
Holman Feet-Elevated Straight Plank Toe-Tap Series,,Strength,Abdominals,Body Only,Intermediate,,
Holman Elbow Plank Pike Pull,,Strength,Abdominals,Body Only,Intermediate,,
Holman Hand-Elevated Walk-Over Push-Up,,Strength,Abdominals,Body Only,Intermediate,,
Holman Hands-Elevated Hill Climber,,Strength,Abdominals,Body Only,Intermediate,,
Holman Seated Pike,,Strength,Abdominals,Body Only,Intermediate,,
Holman Feet-Elevated Up-Down Plank,,Strength,Abdominals,Body Only,Intermediate,,
Holman Feet-Elevated Hand Tap,,Strength,Abdominals,Body Only,Intermediate,,
Holman Reverse Straight Plank with Alternating Heel Pull-In,,Strength,Abdominals,Body Only,Intermediate,,
Holman Elbow Plank,,Strength,Abdominals,Body Only,Intermediate,,
Holman Straight Plank Squat Thrust,,Strength,Abdominals,Body Only,Intermediate,,
Holman Alternating Single-Leg Pike,,Strength,Abdominals,Body Only,Intermediate,,
Holman Knee Pull-In Crunch,,Strength,Abdominals,Body Only,Intermediate,,
Holman Straight Plank with Hand Tap,,Strength,Abdominals,Body Only,Intermediate,,
Holman Straight Plank with Dirty Dog,,Strength,Abdominals,Body Only,Intermediate,,
Holman Elbow Plank Roll,,Strength,Abdominals,Body Only,Intermediate,,
Holman Froggy Push-Up,,Strength,Abdominals,Body Only,Intermediate,,
Holman Straight Plank Hand Tap to Shoulder Tap,,Strength,Abdominals,Body Only,Intermediate,,
Holman In-Out Straight Plank,,Strength,Abdominals,Body Only,Intermediate,,
Holman Bicycle,,Strength,Abdominals,Body Only,Intermediate,,
Holman Alternating Diagonal Knee Pull-in,,Strength,Abdominals,Body Only,Intermediate,,
Holman Elbow Plank with Step-Out,,Strength,Abdominals,Body Only,Intermediate,,
Holman Alternating Slow L-Raise,,Strength,Abdominals,Body Only,Intermediate,,
Holman Feet-Elevated Plank with Shoulder Tap,,Strength,Abdominals,Body Only,Intermediate,,
Holman Feet-Elevated Inchworm Pike to Straight Plank Push-Up,,Strength,Abdominals,Body Only,Intermediate,,
Holman Feet-Elevated Up-Down Elbow Plank,,Strength,Abdominals,Body Only,Intermediate,,
Holman Feet-Elevated Plank Pike Pull,,Strength,Abdominals,Body Only,Intermediate,,
Holman Feet-Elevated Alternating Single-Leg Hip Raise,,Strength,Abdominals,Body Only,Intermediate,,
Holman Feet-Elevated Plank Pike Pull to Push-Up,,Strength,Abdominals,Body Only,Intermediate,,
Holman Standing Heel Click,,Strength,Abdominals,Body Only,Intermediate,,
Holman Straight Plank Right-Left Jack to Split Jack,,Strength,Abdominals,Body Only,Intermediate,,
Holman Elbow Plank Jack to Ninja Knees,,Strength,Abdominals,Body Only,Intermediate,,
Holman Right Side Elbow Plank with Left Leg Swing,,Strength,Abdominals,Body Only,Intermediate,,
Holman Left Side Elbow Plank with Right Leg Swing,,Strength,Abdominals,Body Only,Intermediate,,
Holman Straight Plank with Alternating Diagonal Sit-Back,,Strength,Abdominals,Body Only,Intermediate,,
Holman Boat Press with Leg Extension,,Strength,Abdominals,Body Only,Intermediate,,
Holman Shoulder Tap to Dirty Dog,,Strength,Abdominals,Body Only,Intermediate,,
Holman Standing Russian Twist,,Strength,Abdominals,Body Only,Intermediate,,
Holman Hovering Plank with Shoulder Tap,,Strength,Abdominals,Body Only,Intermediate,,
Holman Elbow Plank to Stacked Plank Hip Drop,,Strength,Abdominals,Body Only,Intermediate,,
Holman Elbow Plank to Walk-Up Pike,,Strength,Abdominals,Body Only,Intermediate,,
Holman Hill Climber,,Strength,Abdominals,Body Only,Intermediate,,
Holman Straight Plank Pike to Renegade Row,,Strength,Abdominals,Body Only,Intermediate,,
Holman Alternating Hip Drop to Push-Up,,Strength,Abdominals,Body Only,Intermediate,,
Holman Crab Kick,,Strength,Abdominals,Body Only,Intermediate,,
Holman Wounded Bear Crawl,,Strength,Abdominals,Body Only,Intermediate,,
Holman Alternating Crab Reach,,Strength,Abdominals,Body Only,Intermediate,,
Holman Hovering Panther Core Stabilizer,,Strength,Abdominals,Body Only,Intermediate,,
Holman Burpee to Forward Lunge,,Strength,Abdominals,Body Only,Intermediate,,
Holman Seated Knee Pull-In Series,,Strength,Abdominals,Body Only,Intermediate,,
Holman Elbow Plank Pike,,Strength,Abdominals,Body Only,Intermediate,,
Holman Elbow Plank Jack to Straight Plank Split Jack,,Strength,Abdominals,Body Only,Intermediate,,
Holman Boat Pull-Over,,Strength,Abdominals,Body Only,Intermediate,,
Holman Squat Pulse to Plyometric Jump,,Strength,Abdominals,Body Only,Intermediate,,
Holman Hands Down Heel Click,,Strength,Abdominals,Body Only,Intermediate,,
Holman Straight Plank to Kick-Up,,Strength,Abdominals,Body Only,Intermediate,,
Holman Hands-Elevated Split Jack,,Strength,Abdominals,Body Only,Intermediate,,
Holman Feet-Elevated Plank Reach,,Strength,Abdominals,Body Only,Intermediate,,
Holman Hand-Elevated Side Plank Semicircle,,Strength,Abdominals,Body Only,Intermediate,,
Holman Hands-Elevated Straight Plank Pike,,Strength,Abdominals,Body Only,Intermediate,,
Holman Alternating Rolling Elbow Plank,,Strength,Abdominals,Body Only,Intermediate,,
Holman Elbow Plank Jack,,Strength,Abdominals,Body Only,Intermediate,,
Holman Squat Thrust to Alternating Knee-In,,Strength,Abdominals,Body Only,Intermediate,,
Holman Supine Double Pike,,Strength,Abdominals,Body Only,Intermediate,,
Holman Elbow Plank Alternating Pike,,Strength,Abdominals,Body Only,Intermediate,,
Holman Seated Killer Abs,,Strength,Abdominals,Body Only,Intermediate,,
Holman Side Plank Hip Drop,,Strength,Abdominals,Body Only,Intermediate,,
Holman Wide Hill Climber,,Strength,Abdominals,Body Only,Intermediate,,
Holman Straight-Legged Bicycle,,Strength,Abdominals,Body Only,Intermediate,,
Holman Stair Toe Tap,,Strength,Abdominals,Body Only,Intermediate,,
Holman Elbow Plank Ninja,,Strength,Abdominals,Body Only,Intermediate,,
Holman Traveling Stair Climb Push-Up,,Strength,Abdominals,Body Only,Intermediate,,
Holman Hands-Elevated Burpee,,Strength,Abdominals,Body Only,Intermediate,,
Holman Straight Plank Donkey Kick,,Strength,Abdominals,Body Only,Intermediate,,
Holman Feet-Elevated Straight Plank Pike Pull,,Strength,Abdominals,Body Only,Intermediate,,
Holman Towel Burpee,,Strength,Abdominals,Body Only,Intermediate,,
Holman Elbow Plank to Alternating Side Plank Crunch,,Strength,Abdominals,Body Only,Intermediate,,
Holman Straight-Legged Hip Raise,,Strength,Abdominals,Body Only,Intermediate,,
Holman Feet-Elevated Hill Climber,,Strength,Abdominals,Body Only,Intermediate,,
Holman Ninja Knee Hill Climber,,Strength,Abdominals,Body Only,Intermediate,,
Holman Feet-Elevated Shoulder Tap,,Strength,Abdominals,Body Only,Intermediate,,
Holman Feet-Elevated Hip Raise,,Strength,Abdominals,Body Only,Intermediate,,
Holman Left Hand Right Foot Crab Reach,,Strength,Abdominals,Body Only,Intermediate,,
Holman Alternating Crab Flip to Froggy Push-Up to Kicks,,Strength,Abdominals,Body Only,Intermediate,,
Holman Right Hand Left Foot Sleeping Crab,,Strength,Abdominals,Body Only,Intermediate,,
Holman Left Hand Right Foot Sleeping Crab,,Strength,Abdominals,Body Only,Intermediate,,
Holman Straight Plank with Alternating Leg Kick-Under,,Strength,Abdominals,Body Only,Intermediate,,
Holman Right Hip Drop Push-Up,,Strength,Abdominals,Body Only,Intermediate,,
Holman Right Side Diagonal Burpee,,Strength,Abdominals,Body Only,Intermediate,,
Holman Left Hip Drop Push-Up,,Strength,Abdominals,Body Only,Intermediate,,
Holman Right Leg 7-Up Crunch,,Strength,Abdominals,Body Only,Intermediate,,
Holman Left Leg 7-Up Crunch,,Strength,Abdominals,Body Only,Intermediate,,
Holman Straight Plank Jack,,Strength,Abdominals,Body Only,Intermediate,,
Holman Feet-Elevated Couch Hill Climber,,Strength,Abdominals,Body Only,Intermediate,,
Holman Feet-Elevated Right Side Plank,,Strength,Abdominals,Body Only,Intermediate,,
Holman Alternating Up-Down Plank to Push-Up,,Strength,Abdominals,Body Only,Intermediate,,
Holman Straight Plank Pike,,Strength,Abdominals,Body Only,Intermediate,,
Holman Ninja Knee Straight Plank,,Strength,Abdominals,Body Only,Intermediate,,
Holman Reverse Crunch to Hip Raise,,Strength,Abdominals,Body Only,Intermediate,,
Holman Straight Plank Quick Reach,,Strength,Abdominals,Body Only,Intermediate,,
Holman Alternating Diagonal Straight Plank,,Strength,Abdominals,Body Only,Intermediate,,
Holman Feet-Elevated Left Side Plank,,Strength,Abdominals,Body Only,Intermediate,,
Holman Right Hand Left Foot Crab Reach,,Strength,Abdominals,Body Only,Intermediate,,
Holman Low-Impact Crab Kick,,Strength,Abdominals,Body Only,Intermediate,,
Holman Alternating Crab Flip to Froggy Push-Up,,Strength,Abdominals,Body Only,Intermediate,,
Holman High-Impact Crab Kick,,Strength,Abdominals,Body Only,Intermediate,,
Holman Single-Leg Right Pike,,Strength,Abdominals,Body Only,Intermediate,,
Holman Single-Leg Left Pike,,Strength,Abdominals,Body Only,Intermediate,,
Holman Shoulder Tap to Hand Tap,,Strength,Abdominals,Body Only,Intermediate,,
Holman Towel Reverse Plank Jack,,Strength,Abdominals,Body Only,Intermediate,,
Holman Side-to-Side Twist,,Strength,Abdominals,Body Only,Intermediate,,
Holman Crab Kick with Hop,,Strength,Abdominals,Body Only,Intermediate,,
Holman Crab Reach to Crab Kick,,Strength,Abdominals,Body Only,Intermediate,,
Holman Wide Squat Side-to-Side Obliques,,Strength,Abdominals,Body Only,Intermediate,,
Holman Side Plank Crunch,,Strength,Abdominals,Body Only,Intermediate,,
Total Fitness Ab Tuck,"The hollow-body knee tuck is a bodyweight abdominal exercise performed on the floor. It is similar to both the hollow-body hold and the knee tuck or reverse crunch, combining elements of both. It primarily targets the muscles of the rectus abdominis, or “six-pack” muscles. It can be performed for reps or time, either as part of an ab-focused workout or as a component of a circuit workout.",Strength,Abdominals,Body Only,Intermediate,,
Active hang from bar,"The active hang from bar is a static exercise that involves isometrically squeezing the shoulders into the sockets and activating the muscles of the upper back and core. It can be used to improve pull-up form or to do more pull-ups, but also has postural and shoulder health benefits.",Strength,Abdominals,Body Only,Intermediate,,
Cat-cow,Cat-cow is a traditional yoga pose that is also popular in fitness and strength training. It targets spinal mobility and control of the vertebral column. It can be performed for time or reps as part of a dynamic warm-up or as a mobility or restorative exercise anytime. It can also work as part of a yoga or bodyweight sequence with other poses.,Strength,Abdominals,Body Only,Intermediate,,
Crab walk,"The crab walk is a full-body exercise that has been popular in schools and gym classes for decades. It's a full-body coordination challenge that also burns serious calories, making it an excellent inclusion in a full-body warm-up or bodyweight circuit workout.",Strength,Abdominals,Body Only,Intermediate,,
Lunge with overhead reach,The lunge with overhead reach is a full-body bodyweight movement targeting the quads and shoulders. It has both strength and mobility benefits and can be performed one leg at a time or alternating for time or for reps.,Strength,Abdominals,Body Only,Intermediate,,
Hang from bar,"The hang from bar is a static exercise that involves hanging from a bar by two hands. It can either be an ""active hang,"" where you pack the shoulders and activate the muscles of the upper back, or a ""passive hang,"" where you let the shoulders unpack and let the muscles of the upper body stretch. A passive hang may not be appropriate for all people depending on their shoulder health, but many coaches believe hanging can be healthy for the shoulders when done properly.",Strength,Abdominals,Body Only,Intermediate,,
Total Fitness Hollow Hold,"The hollow-body hold is an isometric exercise that increases strength and stability in the core muscles. It is common in gymnastics training, CrossFit training, and as a core tension and bracing drill for lifters and athletes of all types. It is performed for time and can be performed as an activation drill prior to lifting, as part of a circuit, or as equipment-free core training anytime.",Strength,Abdominals,Body Only,Intermediate,,
Total Fitness Side Plank,"The side plank is a popular isometric abdominal exercise focusing on the oblique muscles, as well as the transversus abdominis or deep core muscles. It is sometimes paired with the curl up and bird dog as the “McGill big three” for core strength and stability. It is performed for time and can work in a warm-up or in the core-focused portion of any workout.",Strength,Abdominals,Body Only,Intermediate,,
Side plank pulse,"The side plank pulse is a dynamic version of the side plank exercise focusing on the oblique muscles, as well as the transversus abdominis or deep core muscles. It can be performed for time or reps and can work in a warm-up or in the core-focused portion of any workout.",Strength,Abdominals,Body Only,Intermediate,,
Total Fitness Spider Crawl (Unweighted),"The spider crawl is a bodyweight exercise that involves crawling on the floor with the knees outside of the elbows. It is different from a leopard crawl in that the hips are higher, and it's different from a bear crawl because the knees are wider. It can be done as a full-body warm-up, in short bursts for power or circuit training, or for longer durations as cardiovascular conditioning.",Strength,Abdominals,Body Only,Intermediate,,
Total Fitness V-Up,"The V-up is a bodyweight movement that targets the muscles of the abs, the rectus abdominis or ""six-pack"" muscles in particular. It is similar to a suitcase crunch, but the lower back lifts off the ground at the top of each rep. It can be performed for time or reps in the ab-focused portion of any workout.",Strength,Abdominals,Body Only,Intermediate,,
MetaBurn Alternating Knee-to-Elbow Mountain Climber,,Strength,Abdominals,Body Only,Intermediate,,
Alternating sit-through with crunch-,"The alternating sit-through with crunch is a full-body movement that starts in a bear crawl position and ends with a leg kicked out to the side. In between reps, you perform a crunch. It is commonly performed for reps or time in bodyweight circuits and animal-style flows, but can also work on its own or as part of a dynamic warm-up or mobility sequence.",Strength,Abdominals,Body Only,Intermediate,,
MetaBurn Alternating Toe-Touch,,Strength,Abdominals,Body Only,Intermediate,,
MetaBurn Janda Sit-Up,,Strength,Abdominals,Body Only,Intermediate,,
MetaBurn Oblique Roll Crunch,,Strength,Abdominals,Body Only,Intermediate,,
MetaBurn Plank Jack,,Strength,Abdominals,Body Only,Intermediate,,
MetaBurn Plank To Alternating Side Plank,,Strength,Abdominals,Body Only,Intermediate,,
MetaBurn Plank Up-Down,,Strength,Abdominals,Body Only,Intermediate,,
MetaBurn Plank Wiper,,Strength,Abdominals,Body Only,Intermediate,,
MetaBurn Plank With Alternating Toe-Touch,,Strength,Abdominals,Body Only,Intermediate,,
MetaBurn Plyo Push-Up,,Strength,Abdominals,Body Only,Intermediate,,
MetaBurn Psycho Crunch,,Strength,Abdominals,Body Only,Intermediate,,
MetaBurn Scapular Retraction Plank,,Strength,Abdominals,Body Only,Intermediate,,
MetaBurn Scapular Retraction Plank Hold,,Strength,Abdominals,Body Only,Intermediate,,
MetaBurn Scorpion,,Strength,Abdominals,Body Only,Intermediate,,
MetaBurn Side Crawler,,Strength,Abdominals,Body Only,Intermediate,,
MetaBurn Side Plank Oblique Crunch,,Strength,Abdominals,Body Only,Intermediate,,
MetaBurn Sit-Through,,Strength,Abdominals,Body Only,Intermediate,,
MetaBurn Sit-Up To V-Up,,Strength,Abdominals,Body Only,Intermediate,,
MetaBurn Sit-Up With Rotation,,Strength,Abdominals,Body Only,Intermediate,,
MetaBurn Split-Leg Crunch,,Strength,Abdominals,Body Only,Intermediate,,
MetaBurn Tabletop Hip Thrust,,Strength,Abdominals,Body Only,Intermediate,,
MetaBurn Tabletop With Russian Kick,,Strength,Abdominals,Body Only,Intermediate,,
MetaBurn Toe Driver Abs,,Strength,Abdominals,Body Only,Intermediate,,
MetaBurn-V-Up,,Strength,Abdominals,Body Only,Intermediate,,
X-body V-up,"The X-body V-up is a bodyweight abdominal exercise performed on the floor. It is similar to the popular V-up exercise, but is performed with the arms and legs out wide in an X-shape. It primarily targets the muscles of the rectus abdominis, or “six-pack” muscles. It can be performed for reps or time, either as part of an ab-focused workout or as a component of a circuit workout.",Strength,Abdominals,Body Only,Intermediate,,
MetaBurn Swivel Crunch,,Strength,Abdominals,Body Only,Intermediate,,
Robertson Core-Engaged Dead Bug,,Strength,Abdominals,Body Only,Intermediate,,
FYR2 Double-Under,,Strength,Abdominals,Body Only,Intermediate,,
FYR2 Fire Feet with Burpee Tuck Jump Drill,,Strength,Abdominals,Body Only,Intermediate,,
FYR2 Flutter Kick,,Strength,Abdominals,Body Only,Intermediate,,
FYR2 Half-Moon,,Strength,Abdominals,Body Only,Intermediate,,
FYR2 Leopard Crawl,,Strength,Abdominals,Body Only,Intermediate,,
FYR2 Plank Alternating Front Step,,Strength,Abdominals,Body Only,Intermediate,,
FYR2 Shoulder Tap,,Strength,Abdominals,Body Only,Intermediate,,
Hand shift plank,The hand shift plank is a progression of the straight-arm plank exercise where you maintain a plank position as you shift your hands side to side. The additional movement forces the core muscles to work harder to stabilize.,Strength,Abdominals,Body Only,Intermediate,,
Cross-body plank march,"The cross-body plank march is an exercise targeting the entire core but especially the obliques. It’s more difficult than a standard plank, with the extra stabilization challenge of bringing one knee at a time off the ground toward the opposing elbow. This will increase the challenge to the core and shoulder muscles, but also present a coordination and balance challenge.",Strength,Abdominals,Body Only,Intermediate,,
Bent-knee Copenhagen hip adduction,"The bent-knee Copenhagen hip adduction is an advanced exercise that combines the isometric stabilization of the Copenhagen plank with dynamic adductions to challenge the core stabilizers and adductors. This exercise targets the same muscles as the side plank, including the obliques, shoulders, and lateral hips, but places extra emphasis on the adductors and is more difficult than side planks on the floor. Most lifters will need to progress to this version after mastering the basic side plank or Copenhagen plank first.",Strength,Abdominals,Body Only,Intermediate,,
Copenhagen plank,"The Copenhagen plank is an advanced version of the side plank performed with one foot on a bench and the other foot hovering under it. This exercise targets the same muscles as the side plank, including the obliques, shoulders, and lateral hips, but places extra emphasis on the adductors and is more difficult than side planks on the floor. Most lifters will need to progress to this version after mastering the basic side plank or feet-elevated side plank first.",Strength,Abdominals,Body Only,Intermediate,,
ACFT Hanging leg tuck,"The hanging leg tuck is an exercise targeting the entire body, including the arms, upper back, abs, and hip flexors. This specific exercise is part of the new Army Combat Fitness Test or ACFT. It is performe while hanging from a bar and combines elements of a pull-up with a leg raise. Experienced lifters make these look easy, but beginners may need time to build up to sets of 8-12 reps.",Strength,Abdominals,Body Only,Intermediate,,
Alternating hanging knee raise,"The alternating hanging knee raise is an exercise targeting the abs, but which also works the lats and hip flexors. Rather than performing both legs at a time, you lift one knee at a time and alternate with each rep as if marching in place. Knee raises are often performed for moderate to high reps, such as 8-12 reps or more, as part of ab-focused training.",Strength,Abdominals,Body Only,Intermediate,,
Plank To Sphinx,,Strength,Abdominals,Body Only,Intermediate,,
Twisting Mountain Climbers,,Strength,Abdominals,Body Only,Intermediate,,
Jack Knives,,Strength,Abdominals,Body Only,Intermediate,,
Hanging Leg Raises,,Strength,Abdominals,Body Only,Intermediate,,
Medicine ball half moon,"The medicine ball half moon is a dynamic core exercise performed around and over a medicine ball or other short, stationary object. It is similar in some ways to a V-up or reverse crunch, and targets both the obliques and the rectus abdominis or ""six-pack"" muscles. It can be performed for reps or for time, usually in dedicated ab training or as part of a medicine ball and bodyweight circuit workout.",Strength,Abdominals,Medicine Ball,Intermediate,,
Exercise ball roll-out,"The exercise ball roll-out is an exercise that strengthens the core, shoulders and upper- back muscles. It starts in a plank-style position, with the arms resting on a ball. Then, roll the ball out in front of you as far as you can while maintaining a strong, neutral spinal position. The lack of stability from the ball increases the degree of difficulty. This is a difficult movement, and beginners may need to use a limited range of motion.",Strength,Abdominals,Medicine Ball,Intermediate,,
Medicine ball pass,"The medicine ball pass is a simple partner-based exercise that involves throwing a weighted ball back and forth. It can be part of a dynamic warm-up for lifting or athletics, but can also work as active rest or as a component of circuit training.",Strength,Abdominals,Medicine Ball,Intermediate,,
Partner medicine ball sit-up,"The partner medicine ball sit-up is a more difficult version of the traditional abdominal exercise. Two partners pass a medicine ball back and forth at the top of each rep, so each one must alternate a weighted rep with an unweighted rep. This technique can be done for reps or time in any ab-focused workout, in an ""I go, you go"" format.",Strength,Abdominals,Medicine Ball,Intermediate,,
Medicine ball Russian twist,"The medicine ball Russian twist is a weighted version of a popular abdominal training exercise. It targets the oblique muscles, as well as the deep muscles of the core and the rectus abdominis or ""six pack"" muscles. It can be done for reps or time in the ab-focused portion of any workout.",Strength,Abdominals,Medicine Ball,Intermediate,,
30 Medicine Ball Slam,"The medicine ball slam is an explosive exercise for developing power, strength, and speed. Muscles worked include the abdominals, legs, triceps, shoulders, and lats. The slams are usually done in rapid succession to complete one set. It can also be a component of a power or athleticism-focused circuit workout.",Strength,Abdominals,Medicine Ball,Intermediate,,
Medicine ball twist,"The medicine ball twist is an exercise targeting the abdominal muscles, particularly the obliques. It is similar in many ways to a Russian twist exercise. The ball is held tight to the chest throughout the movement, and then the torso is rotated from side to side for the desired number of reps or a set amount of time.",Strength,Abdominals,Medicine Ball,Intermediate,,
FYR2 Medicine Ball Complex,,Strength,Abdominals,Medicine Ball,Intermediate,,
FYR2 Medicine Ball Fire-Feet Drill,,Strength,Abdominals,Medicine Ball,Intermediate,,
FYR2 Medicine Ball Knees-to-Chest,,Strength,Abdominals,Medicine Ball,Intermediate,,
FYR2 Medicine Ball Mountain Climber,,Strength,Abdominals,Medicine Ball,Intermediate,,
Decline sit-up,"The decline sit-up is a bodyweight core exercise that works the rectus abdominis or ""six pack"" muscles. Sit-up variations are usually performed for moderate to high reps, such as 10-15 reps per set or more, as part of the core-focused portion of a workout.",Strength,Abdominals,,Intermediate,,
Hanging Windshield Wiper,"The hanging windshield wiper is an advanced abdominal training exercise that is also extremely challenging to other muscles of the upper body, including the lats (latissimus dorsi), biceps, and grip. It requires—and builds—great strength in the rectus abdominis or ""six-pack"" muscles, as well as the obliques and deep core muscles. If you can't perform it hanging from a bar, the lying windshield wiper on the floor provides some of the same benefits.",Strength,Abdominals,,Intermediate,,
Swiss Ball Ab Roll-Out,"The exercise ball roll-out is an exercise that strengthens the core, shoulders and upper- back muscles. It starts in a plank-style position, with the arms resting on a ball. Then, you roll the ball out in front of you as far as you can while maintaining a strong, neutral spinal position. The lack of stability from the ball increases the degree of difficulty. This is a difficult movement, and beginners may need to use a limited range of motion.",Strength,Abdominals,Exercise Ball,Intermediate,,
Exercise Ball Cable Crunch - Gethin Variation,"The exercise ball crunch is a popular gym exercise targeting the abdominals. Unlike crunches on the floor or a bench, by using a ball, you can increase the range of motion and both stretch and contract the abs on every rep. The ball crunch can be performed for low reps with a slower tempo, focusing on a hard contraction, or for higher reps.",Strength,Abdominals,Cable,Intermediate,,
Exercise ball squat and twist,"The exercise ball squat and twist is a combination exercise targeting the quads, but also the obliques because of the twisting motion with each repetition. The exercise ball is held close to the chest throughout. Because it is a lightweight movement, it is usually performed for high reps or for time, and can be a great part of a bodyweight and exercise ball circuit.",Strength,Abdominals,Exercise Ball,Intermediate,,
Swiss Ball V-Up With Foot Pass,"The exercise ball V-up is a popular movement to target the abdominal muscles, particularly the rectus abdominis or ""six-pack"" muscles. It involves passing an exercise ball or yoga ball back and forth between the hands and feet while performing V-ups. It can be performed for reps or time as part of any ab-focused workout or bodyweight circuit.",Strength,Abdominals,Exercise Ball,Intermediate,,
Exercise ball pike,"The exercise ball pike is a challenging move that targets the core. It involves thrusting the hips into full flexion over a ball, then extending out to a foot-elevated plank with the feet on the ball. It's a challenging move from a strength perspective, but also for balance. It can be the centerpiece of an ab workout or go along with other body weight or ball movements in an ab circuit.",Strength,Abdominals,Exercise Ball,Intermediate,,
Exercise ball bird dog,"The exercise ball bird dog is a dynamic movement focusing on the glutes and the postural muscles of the upper back. When performing it, use an exercise ball that is tall enough to support your chest and core, but short enough to allow your hands and knees to reach the ground. It is slightly easier than a bodyweight bird dog and can work as a regression for that movement. It can be done for time or reps as part of a warm-up, paired with movements in a workout, or as a mobility or recovery exercise.",Strength,Abdominals,Exercise Ball,Intermediate,,
Exercise ball superman,"The exercise ball superman is a slightly more advanced variation of the bodyweight superman exercise. It targets many muscles along the posterior or backside of the body, including the rear deltoids, trapezius, spinal erectors, glutes, and hamstrings. It can be done for time or reps as part of a warm-up, paired with movements in a workout, or as a mobility or recovery exercise.",Strength,Abdominals,Exercise Ball,Intermediate,,
BOSU cross-body crunch,"The BOSU cross-body crunch is a dynamic abdominal exercise performed on a BOSU ball or other stability training device. It targets several of the muscles in the core, including the obliques and the rectus abdominis or ""six-pack"" muscles. It is usually performed in alternating reps, either for time or a number of reps, as part of an ab-focused workout or a circuit involving body weight or the BOSU ball.",Strength,Abdominals,Exercise Ball,Intermediate,,
Exercise Ball Knee Tuck - Gethin Varation,The exercise ball knee roll-in is an abdominal exercise that involves supporting yourself with your hands in a plank or push-up position and drawing the knees in toward the chest. This is a fairly advanced abdominal move requiring core strength.,Strength,Abdominals,Exercise Ball,Intermediate,,
Alternating Exercise Ball Knee Tucks - Gethin Variation,The exercise ball knee roll-in is an abdominal exercise that involves supporting yourself with your hands in a plank or push-up position and drawing the knees in toward the chest. This is a fairly advanced abdominal move requiring core strength.,Strength,Abdominals,Exercise Ball,Intermediate,,
AM Ball Crunch,"The exercise ball crunch is a popular gym exercise targeting the abdominals. Unlike crunches on the floor or a bench, by using a ball, you can increase the range of motion and both stretch and contract the abs on every rep. The ball crunch can be performed for low reps with a slower tempo, focusing on a hard contraction, or for higher reps.",Strength,Abdominals,Exercise Ball,Intermediate,,
30 Bosu Cable Reverse Crunch,,Strength,Abdominals,Exercise Ball,Intermediate,,
BOSU knee tuck,"The BOSU knee tuck is a dynamic abdominal movement performed on a BOSU ball or other stability training device. It primarily targets the rectus abdominis or ""six-pack"" muscles of the core. It can be performed for time or reps as part of an ab-focused workout or a circuit involving body weight or the BOSU ball.",Strength,Abdominals,Exercise Ball,Intermediate,,
